Time,BR710_N1[0],BR710_N2[0],Direct Thrust (engine 0 in lbs),BR710_N1[1],BR710_N2[1],Direct Thrust (engine 1 in lbs),Fuel Tank 0,Fuel Tank 1,Fuel Tank 2,/fdm/jsbsim/aero/alphadot-deg_sec,/fdm/jsbsim/aero/betadot-deg_sec,/fdm/jsbsim/velocities/ve-kts,/fdm/jsbsim/velocities/vc-kts,/fdm/jsbsim/velocities/mach,/fdm/jsbsim/aero/beta-deg,/fdm/jsbsim/aero/alpha-deg,/fdm/jsbsim/velocities/vtrue-kts,/fdm/jsbsim/gear/gear-cmd-norm,/fdm/jsbsim/position/h-agl-ft
0,100,100,1088.95,100,100,1088.95,1000,1000,1000,7.427260903032054,-1.85543764008162661e-18,89.5180702509724142,90.0000000000012221,0.248096514878030305,0,0,146.235887605031962,1,30000.0000000030486
0.008333333333,81.1036,89.2021,1048.94,81.1036,89.2021,1048.94,1000,1000,1000,6.69278179264681672,-1.67195409142829941e-18,99.3419603221562539,99.9999999999997016,0.275323117086616609,0,0,162.284103124704927,1,29999.9999999998508
